date,trial,ttt,ttt_2,tank,survived,dead,eaten
1/31/15,1,Grouper,Grouper,1,9,1,0
1/31/15,1,Grouper,Grouper,2,3,0,7
1/31/15,1,Grouper,Grouper,3,7,0,3
1/31/15,1,Grouper,Grouper,4,5,0,5
1/31/15,1,Grouper,Grouper,5,0,0,0
1/31/15,1,Lionfish,Lionfish,1,3,0,7
1/31/15,1,Lionfish,Lionfish,2,9,1,0
1/31/15,1,Lionfish,Lionfish,3,10,0,0
1/31/15,1,Lionfish,Lionfish,4,4,0,6
1/31/15,1,Lionfish,Lionfish,5,5,0,5
1/31/15,1,Lionfish,Lionfish,6,10,0,0
1/31/15,1,Control,Scarus,1,9,1,0
1/31/15,1,Control,Scarus,2,9,1,0
1/31/15,1,Control,Scarus,3,10,0,0
1/31/15,1,Control,nothing,4,9,1,0
1/31/15,1,Control,nothing,5,NA,NA,NA
2/2/15,2,Grouper,Grouper,1,3,1,6
2/2/15,2,Grouper,Grouper,2,5,0,5
2/2/15,2,Grouper,Grouper,3,4,0,6
2/2/15,2,Grouper,Grouper,4,2,2,6
2/2/15,2,Grouper,Grouper,5,5,1,4
2/2/15,2,Lionfish,Lionfish,1,2,1,7
2/2/15,2,Lionfish,Lionfish,2,5,0,5
2/2/15,2,Lionfish,Lionfish,3,3,0,7
2/2/15,2,Lionfish,Lionfish,4,6,0,4
2/2/15,2,Lionfish,Lionfish,5,3,0,7
2/2/15,2,Control,Scarus,1,9,1,0
2/2/15,2,Control,Scarus,2,9,0,0
2/2/15,2,Control,Scarus,3,10,0,0
2/2/15,2,Control,nothing,4,9,9,0
2/2/15,2,Control,nothing,5,8,1,0
2/2/15,2,Control,nothing,6,9,1,0
2/3/15,3,Grouper,Grouper,1,4,0,6
2/3/15,3,Grouper,Grouper,2,0,1,9
2/3/15,3,Grouper,Grouper,3,6,0,4
2/3/15,3,Lionfish,Lionfish,1,3,0,7
2/3/15,3,Lionfish,Lionfish,2,4,0,6
2/3/15,3,Lionfish,Lionfish,3,1,1,8
2/3/15,3,Control,Scarus,1,7,3,0
42038,3,Control,Scarus,2,10,0,0
