Observer ,Fish,Reef,Depth15,Depth25,Total ,LogData
Tom,Pterois volitans,Casa Verde ,0,0,0,0
Tom,Serranidae ,Casa Verde ,10,4,14,1.176091259
Tom,Hypoplectrus,Casa Verde ,5,2,7,0.903089987
Meg,Pterois volitans,Casa Verde ,0,0,0,0
Meg,Serranidae ,Casa Verde ,9,8,17,1.255272505
Meg,Hypoplectrus,Casa Verde ,4,0,4,0.698970004
Justin ,Pterois volitans,Casa Verde ,0,0,0,0
Justin ,Serranidae ,Casa Verde ,12,13,25,1.414973348
Justin ,Hypoplectrus,Casa Verde ,5,3,8,0.954242509
Katie,Pterois volitans,Casa Blanca ,0,0,0,0
Katie,Serranidae ,Casa Blanca ,2,3,5,0.77815125
Katie,Hypoplectrus,Casa Blanca ,3,15,18,1.278753601
Kirsten ,Pterois volitans,Casa Blanca ,0,0,0,0
Kirsten ,Serranidae ,Casa Blanca ,1,3,4,0.698970004
Kirsten ,Hypoplectrus,Casa Blanca ,3,4,7,0.903089987
Charlee,Pterois volitans,Casa Blanca ,0,0,0,0
Charlee,Serranidae ,Casa Blanca ,6,5,11,1.079181246
Charlee,Hypoplectrus,Casa Blanca ,3,4,7,0.903089987
Evie ,Pterois volitans,Punta Caracol ,0,0,0,0
Evie ,Serranidae ,Punta Caracol ,7,9,16,1.230448921
Evie ,Hypoplectrus,Punta Caracol ,5,10,15,1.204119983
Brecia ,Pterois volitans,Punta Caracol ,0,0,0,0
Brecia ,Serranidae ,Punta Caracol ,3,7,10,1.041392685
Brecia ,Hypoplectrus,Punta Caracol ,4,7,11,1.079181246
Jason ,Pterois volitans,Punta Caracol ,0,1,1,0.301029996
Jason ,Serranidae ,Punta Caracol ,7,9,16,1.230448921
Jason ,Hypoplectrus,Punta Caracol ,3,8,11,1.079181246
