Group,Location,Depth (Ft),Time Spent (min),Divers Present,Lionfish count,Grouper count,Hypoplectrus count,Obersavtions
F,Punta Caracol,25,20,3,1,25,24,Gobies swam away from Groupers while stayed very close to the lionfish
F,Punta Caracol,15,25,3,0,17,12,
C,Casa Blanca,25,20,3,0,11,23,
C,Casa Blanca,15,20,3,0,9,9,"Very sandy, Gobies made way for hamlets"
A + Meg - Kelsey,Casa Verde,25,20,3,0,21,5,
A + Meg - Kelsey,Casa Verde,15,20,3,0,31,14,
