tank,ttt,cam_name,prop-visible,time_interval,video_time,num_vis,pred_quad,gobies_inpredquad,gobies_sharing_refuge,strikes
C1,Control,Three Seas 2,60,0,V1 0:30,5,NA,NA,0,0
C1,Control,Three Seas 2,60,1,V1 1:30,5,NA,NA,0,0
C1,Control,Three Seas 2,60,10,V1 10:30,5,NA,NA,0,0
C1,Control,Three Seas 2,60,11,V1 11:30,5,NA,NA,0,0
C1,Control,Three Seas 2,60,20,V2 3:30,4,NA,NA,0,0
C1,Control,Three Seas 2,60,21,V2 4:30,4,NA,NA,0,0
C1,Control,Three Seas 2,60,30,V2 13:30,5,NA,NA,0,0
C1,Control,Three Seas 2,60,31,V2 14:30,5,NA,NA,0,0
C1,Control,Three Seas 2,60,40,V3 6:31,4,NA,NA,0,0
C1,Control,Three Seas 2,60,41,V3 7:28,3,NA,NA,0,0
C1,Control,Three Seas 2,60,50,V3 16:30,4,NA,NA,0,0
C1,Control,Three Seas 2,60,51,V3 17:30,4,NA,NA,0,0
C1,Control,Three Seas 2,60,60,V4 9:30,4,NA,NA,0,0
C1,Control,Three Seas 2,60,61,V4 10:30,3,NA,NA,0,0
C1,Control,Three Seas 2,60,70,V5 2:30,4,NA,NA,0,0
C1,Control,Three Seas 2,60,71,V5 3:30,4,NA,NA,0,0
C1,Control,Three Seas 2,60,80,V5 12:30,3,NA,NA,0,0
C1,Control,Three Seas 2,60,81,V5 13:30,3,NA,NA,0,0
C1,Control,Three Seas 2,60,90,V6 5:30,6,NA,NA,0,0
C1,Control,Three Seas 2,60,91,V6 6:30,4,NA,NA,0,0
C1,Control,Three Seas 2,60,100,V6 15:30,5,NA,NA,0,0
C1,Control,Three Seas 2,60,101,V6 16:30,4,NA,NA,0,0
C1,Control,Three Seas 2,60,111,V8 5:30,0,NA,NA,0,0
C1,Control,Three Seas 2,60,112,V8 6:30,0,NA,NA,0,0
C1,Control,Three Seas 2,60,120,V8 15:30,0,NA,NA,0,0
C1,Control,Three Seas 2,60,121,V8 16:30,4,NA,NA,0,0
C2,Control,Tom by Jo,80,0,V1 0:30,4,NA,NA,0,0
C2,Control,Tom by Jo,80,1,V1 1:30,4,NA,NA,0,0
C2,Control,Tom by Jo,80,10,V1 10:30,5,NA,NA,0,0
C2,Control,Tom by Jo,80,11,V1 11:30,4,NA,NA,0,0
C2,Control,Tom by Jo,80,20,V2 3:35,5,NA,NA,0,0
C2,Control,Tom by Jo,80,21,V2 4:35,5,NA,NA,0,0
C2,Control,Tom by Jo,80,30,V2 13:35,3,NA,NA,0,0
C2,Control,Tom by Jo,80,31,V2 14:35,4,NA,NA,0,0
C2,Control,Tom by Jo,80,40,V3 5:25,2,NA,NA,0,0
C3,Control,TS 5,80,0,V1 1:28,4,NA,NA,2,0
C3,Control,TS 5,80,1,V1 2:28,4,NA,NA,2,0
C3,Control,TS 5,80,10,V1 11:28,3,NA,NA,1,0
C3,Control,TS 5,80,11,V1 12:28,3,NA,NA,1,0
C3,Control,TS 5,80,20,V2 4:54,1,NA,NA,0,0
C3,Control,TS 5,80,21,V2 5:54,1,NA,NA,0,0
C3,Control,TS 5,80,30,V2 14:54,1,NA,NA,0,0
C3,Control,TS 5,80,31,V2 15:54,1,NA,NA,0,0
C3,Control,TS 5,80,40,V3 7:29,2,NA,NA,1,0
C3,Control,TS 5,80,41,V3 8:29,2,NA,NA,1,0
C3,Control,TS 5,80,50,V3 17:29,2,NA,NA,0,0
C3,Control,TS 5,80,51,V4 0:54,2,NA,NA,0,0
C3,Control,TS 5,80,60,V4 9:54,3,NA,NA,0,0
C3,Control,TS 5,80,61,V4 10:54,3,NA,NA,0,0
C3,Control,TS 5,80,70,V5 2:19,2,NA,NA,0,0
C3,Control,TS 5,80,71,V5 3:19,2,NA,NA,0,0
C3,Control,TS 5,80,80,V5 12:19,3,NA,NA,0,0
C3,Control,TS 5,80,81,V5 13:19,3,NA,NA,0,0
C3,Control,TS 5,80,90,V6 4:44,4,NA,NA,0,0
C3,Control,TS 5,80,91,V6 5:44,2,NA,NA,0,0
C3,Control,TS 5,80,100,V6 14:44,3,NA,NA,0,0
C3,Control,TS 5,80,101,V6 15:44,2,NA,NA,0,0
S1,Scarus,Shanny GoPro,100,0,V1 13:58,4,3,1,9,0
S1,Scarus,Shanny GoPro,100,1,V1 14:58,1,2,0,10,0
S1,Scarus,Shanny GoPro,100,10,V2 7:45,0,2,0,9,0
S1,Scarus,Shanny GoPro,100,11,V2 8:45,0,4,9,9,0
S1,Scarus,Shanny GoPro,100,20,V3 2:06,0,1,0,9,0
S1,Scarus,Shanny GoPro,100,21,V3 3:06,0,1,0,9,0
S1,Scarus,Shanny GoPro,100,30,V3 12:08,0,1,0,9,0
S1,Scarus,Shanny GoPro,100,31,V3 13:08,0,1,0,9,0
S1,Scarus,Shanny GoPro,100,40,V4 4:45,1,1,0,9,0
S1,Scarus,Shanny GoPro,100,41,V4 5:45,2,1,0,9,0
S1,Scarus,Shanny GoPro,100,50,V4 14:47,4,1,0,8,0
S1,Scarus,Shanny GoPro,100,51,V4 15:47,4,1,0,9,0
S1,Scarus,Shanny GoPro,100,60,V5 8:37,3,1,0,2,0
S1,Scarus,Shanny GoPro,100,61,V5 9:37,4,1,0,3,0
S1,Scarus,Shanny GoPro,100,70,V6 2:13,3,1,0,9,0
S1,Scarus,Shanny GoPro,100,71,V6 3:13,3,1,0,8,0
S1,Scarus,Shanny GoPro,100,80,V6 12:13,1,3,0,8,0
S1,Scarus,Shanny GoPro,100,81,V6 13:13,1,3,1,8,0
S1,Scarus,Shanny GoPro,100,90,V7 5:50,3,1,0,9,0
S1,Scarus,Shanny GoPro,100,91,V7 6:50,3,1,0,8,0
